writers, client_util, client_bandwidth, OSD_0_util, OSD_1_util, OSD_2_util, OSD_3_util
4, 6.08857142857143, 355.60825562488003, , 0.5885714285714284, 0.5, 0.5111111111111112, 0.4108108108108108
8, 9.634883720930233, 614.8097370617563, , 0.9186046511627906, 0.8930232558139536, 0.9227272727272727, 0.7204545454545455
12, 11.36491228070175, 825.3563629709402, , 1.0842105263157895, 1.0258620689655173, 1.0810344827586207, 0.8661016949152545
16, 13.072058823529416, 937.1979053384997, , 1.2573529411764703, 1.2058823529411766, 1.2782608695652171, 1.0536231884057972
20, 13.471590909090908, 981.8866496244585, , 1.3124999999999998, 1.2443181818181819, 1.3404494382022472, 1.102247191011236
24, 13.657009345794394, 947.8596712073088, , 1.4084112149532717, 1.3560747663551402, 1.4333333333333327, 1.1416666666666668
28, 14.51825396825396, 938.6412207527567, , 1.4912698412698413, 1.3785714285714281, 1.50236220472441, 1.1858267716535433
32, 15.708396946564884, 995.2672333030841, , 1.713740458015267, 1.6076335877862595, 1.7908396946564882, 1.357575757575757
